market_name,date,price,min_price,max_price
Sadhaura,2025-05-19,400.0,300.0,500.0
Sahnewal,2025-05-19,1000.0,1000.0,1000.0
Samalkha,2025-05-19,500.0,500.0,500.0
Sanchore,2025-05-19,1800.0,1500.0,2000.0
Sargipali,2025-05-19,2000.0,1800.0,2200.0
Shadabad,2025-05-19,1250.0,1200.0,1300.0
Sheoraphuly,2025-05-19,2000.0,1800.0,2200.0
Sirsaganj,2025-05-19,1100.0,1000.0,1200.0
Sitapur,2025-05-19,800.0,700.0,900.0
Solan(Nalagarh),2025-05-19,1400.0,1300.0,1500.0
Sriganganagar (F&V),2025-05-19,1100.0,900.0,1300.0
Sultanpur,2025-05-19,745.0,725.0,760.0
Surat,2025-05-19,1300.0,600.0,2000.0
Suratgarh,2025-05-19,750.0,500.0,900.0
Tanda Urmur,2025-05-19,1400.0,1200.0,1500.0
Tanda(Rampur),2025-05-19,820.0,800.0,840.0
Tauru,2025-05-19,1000.0,1000.0,1000.0
Teliamura,2025-05-19,2800.0,2700.0,2900.0
Thalasserry,2025-05-19,1800.0,1600.0,2000.0
Thrippunithura,2025-05-19,3700.0,3500.0,4000.0
Thrissur,2025-05-19,1500.0,1500.0,1500.0
Tulsipur,2025-05-19,1150.0,1120.0,1170.0
Ujhani,2025-05-19,815.0,800.0,830.0
Uklana,2025-05-19,700.0,600.0,700.0
Vadhvan,2025-05-19,1750.0,1500.0,2000.0
Vayalapadu,2025-05-19,960.0,880.0,1040.0
Vengeri(Kozhikode),2025-05-19,1900.0,1600.0,1900.0
Warangal,2025-05-19,900.0,800.0,1000.0
